County,Year,NumTrans,TotMME,TotDU
Taylor,2009,1382.0,4372057.09136248,570100.0
Taylor,2010,1534.0,3785558.5463624834,545610.0
Taylor,2011,1722.0,4051472.7449999806,605890.0
Taylor,2012,1620.0,4072051.1324999905,579890.0
Taylor,2013,1784.0,4342513.342499994,575260.0
Taylor,2014,1252.0,4438931.309999999,584200.0
Tucker,2006,449.0,818168.3625000012,114800.0
Tucker,2007,454.0,942887.2200000008,125690.0
Tucker,2008,406.0,835374.7913625011,115000.0
Tucker,2009,333.0,807349.7625000004,115850.0
Tucker,2010,350.0,714241.9125000003,114750.0
Tucker,2011,452.0,747477.5250000003,126550.0
Tucker,2012,599.0,816782.3625000002,139450.0
Tucker,2013,656.0,1027894.0800000026,160860.0
Tucker,2014,414.0,742387.1700000004,120690.0
Tyler,2006,560.0,1290867.6825000003,237290.0
Tyler,2007,616.0,1385656.6802250012,264170.0
Tyler,2008,777.0,1841240.2274999998,322630.0
Tyler,2009,980.0,2426523.7274999963,388190.0
Tyler,2010,987.0,2755329.9563624924,395730.0
Tyler,2011,627.0,2248609.8902249984,315890.0
Tyler,2012,612.0,2387593.7024999997,309990.0
Tyler,2013,658.0,2420603.497499998,307830.0
Tyler,2014,606.0,2393777.5875000004,299600.0
Upshur,2006,2095.0,3995057.5874999617,620500.0
Upshur,2007,2481.0,4920660.350999958,765300.0
Upshur,2008,2421.0,4566479.778862464,763300.0
Upshur,2009,2682.0,5018347.27499997,817400.0
Upshur,2010,2796.0,5447691.183862488,851810.0
Upshur,2011,2799.0,5949444.404999986,897560.0
Upshur,2012,2700.0,5601403.9125,870250.0
Upshur,2013,2883.0,5210947.424999995,810880.0
Upshur,2014,2160.0,5682711.367500001,805430.0
Wayne,2006,3847.0,16025618.59750011,1739500.0
Wayne,2007,4375.0,17779958.403500114,1956000.0
Wayne,2008,4492.0,19235909.88636255,2066190.0
Wayne,2009,4421.0,20337509.118862502,2118670.0
Wayne,2010,4311.0,22890742.20750005,2010060.0
Wayne,2011,3964.0,20103755.099999998,1914650.0
Wayne,2012,4090.0,22994539.49250006,1927700.0
Wayne,2013,4306.0,18060477.28500006,1737420.0
Wayne,2014,3620.0,20500787.069999963,1776130.0
Webster,2006,670.0,2194921.874999999,365800.0
Webster,2007,742.0,2395921.5900000003,396430.0
Webster,2008,877.0,2526905.624999996,404700.0
Webster,2009,1011.0,2827568.759999997,462620.0
Webster,2010,966.0,2621963.197499998,447420.0
Webster,2011,939.0,2466244.0949999997,414930.0
Webster,2012,1058.0,2662233.8099999973,420240.0
Webster,2013,1138.0,2748690.596362498,402110.0
Webster,2014,1007.0,2913434.9174999986,409060.0
Wetzel,2006,2201.0,5950094.732999975,983000.0
Wetzel,2007,2350.0,7224531.383999979,1164350.0
Wetzel,2008,2695.0,7492612.649362479,1212960.0
Wetzel,2009,2548.0,7174528.004999963,1187420.0
Wetzel,2010,2760.0,7712923.042724976,1222990.0
Wetzel,2011,2480.0,6988523.902499983,1116280.0
Wetzel,2012,2392.0,6664516.559999976,1062720.0
Wetzel,2013,2545.0,6239083.469999989,1001860.0
Wetzel,2014,1880.0,6299502.442725009,957680.0
Wirt,2006,167.0,324689.0999999999,76700.0
Wirt,2007,211.0,465064.40250000026,101030.0
Wirt,2008,262.0,446533.0875,96000.0
Wirt,2009,283.0,576147.4275,112730.0
Wirt,2010,343.0,576554.8874999998,119700.0
Wirt,2011,473.0,657268.4250000004,140200.0
Wirt,2012,510.0,830244.6224999997,162220.0
Wirt,2013,556.0,954197.1375000003,181300.0
Wirt,2014,480.0,957824.1600000006,176930.0
Wood,2006,9888.0,27209518.92358772,4217270.0
Wood,2007,12086.0,29291650.467850372,4869620.0
Wood,2008,13673.0,33638628.6780004,5555260.0
Wood,2009,13783.0,35477835.0045373,5957620.0
Wood,2010,14339.0,35762521.12657483,6053570.0
Wood,2011,14719.0,38282928.97158701,6520870.0
Wood,2012,14747.0,38975203.82272458,6495790.0
Wood,2013,14339.0,38444063.524087295,6292750.0
Wood,2014,10467.0,39572834.64750005,6343070.0
Wyoming,2006,3703.0,16545813.004362661,1793990.0
Wyoming,2007,4022.0,19770816.870862555,1967830.0
Wyoming,2008,4156.0,23800640.316949982,2249120.0
Wyoming,2009,4520.0,33679413.78000001,2673510.0
Wyoming,2010,4513.0,38144627.98657492,2860540.0
Wyoming,2011,4262.0,40079652.90408747,3182580.0
Wyoming,2012,4420.0,41260946.081362486,3183810.0
Wyoming,2013,4152.0,39691737.454087496,2977960.0
Wyoming,2014,3562.0,37005570.78750004,2800110.0
